image,survey_code,species,comments,quadrat,presabs
pic_s04_2017_ne_q01.png,s04_2017_ne,alsike clover,NA,q01,1
pic_s04_2017_ne_q01.png,s04_2017_ne,red clover,NA,q01,1
pic_s04_2017_ne_q01.png,s04_2017_ne,crimson clover,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,white clover,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,sainfoin,NA,q01,1
pic_s04_2017_ne_q01.png,s04_2017_ne,lucerne,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,bird's-foot trefoil,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,black medick,NA,q01,1
pic_s04_2017_ne_q01.png,s04_2017_ne,common vetch,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,black knapweed,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,yarrow,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,oxeye daisy,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,musk mallow,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,wild carrot,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,field scabious,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,sweet clover,NA,q01,1
pic_s04_2017_ne_q01.png,s04_2017_ne,fenugreek,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,red campion,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,phacelia,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,borage,NA,q01,0
pic_s04_2017_ne_q01.png,s04_2017_ne,white campion,NA,q01,1
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,alsike clover,NA,q01,1
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,crimson clover,NA,q01,0
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,red clover,NA,q01,1
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,sweet clover,NA,q01,1
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,white clover,NA,q01,0
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,sainfoin,NA,q01,1
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,lucerne,NA,q01,1
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,bird's-foot trefoil,NA,q01,1
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,black medick,NA,q01,0
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,common vetch,NA,q01,1
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,black knapweed,NA,q01,0
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,yarrow,NA,q01,0
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,oxeye daisy,NA,q01,0
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,musk mallow,NA,q01,0
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,wild carrot,NA,q01,0
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,red campion,NA,q01,1
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,white campion,NA,q01,0
pic_s12_2017_ne_v_q01.png,s12_2017_ne_v,phacelia,NA,q01,1
pic_s13_2017_ne_v_q01.png,s13_2017_ne_v,alsike clover,NA,q01,1
